Download from NIST 24/11/2018 (https://physics.nist.gov/cgi-bin/Compositions/stand_alone.pl?ele=&ascii=ascii&isotype=all)
0   X   1    0.             1.
1   H   1    1.00782503223  0.999885
1   D   2    2.01410177812  0.000115
1   T   3    3.0160492779   0.            
2   He  3    3.0160293201   0.00000134
2   He  4    4.00260325413  0.99999866
3   Li  6    6.0151228874   0.0759
3   Li  7    7.0160034366   0.9241
4   Be  9    9.012183065    1.
5   B   10   10.01293695    0.199
5   B   11   11.00930536    0.801
6   C   12   12.0000000     0.9893
6   C   13   13.00335483507 0.0107
6   C   14   14.0032419884  0.            
7   N   14   14.00307400443 0.99636
7   N   15   15.00010889888 0.00364
8   O   16   15.99491461957 0.99757
8   O   17   16.99913175650 0.00038
8   O   18   17.99915961286 0.00205
9   F   19   18.99840316273 1.
10  Ne  20   19.9924401762  0.9048
10  Ne  21   20.993846685   0.0027
10  Ne  22   21.991385114   0.0925
11  Na  23   22.9897692820  1.    
12  Mg  24   23.985041697   0.7899
12  Mg  25   24.985836976   0.1000
12  Mg  26   25.982592968   0.1101
13  Al  27   26.98153853    1.    
14  Si  28   27.97692653465 0.92223
14  Si  29   28.97649466490 0.04685
14  Si  30   29.973770136   0.03092
15  P   31   30.97376199842 1.     
16  S   32   31.9720711744  0.9499
16  S   33   32.9714589098  0.0075
16  S   34   33.967867004   0.0425
16  S   36   35.96708071    0.0001
17  Cl  35   34.968852682   0.7576
17  Cl  37   36.965902602   0.2424
18  Ar  36   35.967545105   0.003336
18  Ar  38   37.96273211    0.000629
18  Ar  40   39.9623831237  0.996035
19  K   39   38.9637064864  0.932581
19  K   40   39.963998166   0.000117
19  K   41   40.9618252579  0.067302
20  Ca  40   39.962590863   0.96941
20  Ca  42   41.95861783    0.00647
20  Ca  43   42.95876644    0.00135
20  Ca  44   43.95548156    0.02086
20  Ca  46   45.9536890     0.00004
20  Ca  48   47.95252276    0.00187
21  Sc  45   44.95590828    1.   
22  Ti  46   45.95262772    0.0825
22  Ti  47   46.95175879    0.0744
22  Ti  48   47.94794198    0.7372
22  Ti  49   48.94786568    0.0541
22  Ti  50   49.94478689    0.0518
23  V   50   49.94715601    0.00250
23  V   51   50.94395704    0.99750
24  Cr  50   49.94604183    0.04345
24  Cr  52   51.94050623    0.83789
24  Cr  53   52.94064815    0.09501
24  Cr  54   53.93887916    0.02365
25  Mn  55   54.93804391    1.     
26  Fe  54   53.93960899    0.05845
26  Fe  56   55.93493633    0.91754
26  Fe  57   56.93539284    0.02119
26  Fe  58   57.93327443    0.00282
27  Co  59   58.93319429    1.     
28  Ni  58   57.93534241    0.68077
28  Ni  60   59.93078588    0.26223
28  Ni  61   60.93105557    0.011399
28  Ni  62   61.92834537    0.036346
28  Ni  64   63.92796682    0.009255
29  Cu  63   62.92959772    0.6915
29  Cu  65   64.92778970    0.3085
30  Zn  64   63.92914201    0.4917
30  Zn  66   65.92603381    0.2773
30  Zn  67   66.92712775    0.0404
30  Zn  68   67.92484455    0.1845
30  Zn  70   69.9253192     0.0061
31  Ga  69   68.9255735     0.60108
31  Ga  71   70.92470258    0.39892
32  Ge  70   69.92424875    0.2057
32  Ge  72   71.922075826   0.2745
32  Ge  73   72.923458956   0.0775
32  Ge  74   73.921177761   0.3650
32  Ge  76   75.921402726   0.0773
33  As  75   74.92159457    1.    
34  Se  74   73.922475934   0.0089
34  Se  76   75.919213704   0.0937
34  Se  77   76.919914154   0.0763
34  Se  78   77.91730928    0.2377
34  Se  80   79.9165218     0.4961
34  Se  82   81.9166995     0.0873
35  Br  79   78.9183376     0.5069
35  Br  81   80.9162897     0.4931
36  Kr  78   77.92036494    0.00355
36  Kr  80   79.91637808    0.02286
36  Kr  82   81.91348273    0.11593
36  Kr  83   82.91412716    0.11500
36  Kr  84   83.9114977282  0.56987
36  Kr  86   85.9106106269  0.17279
37  Rb  85   84.9117897379  0.7217
37  Rb  87   86.9091805310  0.2783
